canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000494,Lohit,Arunachal Pradesh,1981,2011.0,False,NEW,3,1981,2001,10306.055877942143,10306.054752660493,0.0011252816493652062,,,,10306.055877942143,10306.054752660493,10306.054752660493,,,
IND-001039,Lohit,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,4146.673240193999,4146.673240193999,0.0,,,,,,,4146.673240193999,,
IND-001138,Lohit,Arunachal Pradesh,2021,2025.0,False,NEW,1,2021,2021,2474.1407362300356,2474.1407362300356,0.0,,,,,,,,2474.1407362300356,
IND-001355,Lohit,Arunachal Pradesh,2025,,True,NEW,1,2025,2025,3054.541550425716,3054.541550425716,0.0,,,,,,,,,3054.541550425716
IND-001144,Longding,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,936.9571277842723,936.0791045925438,0.8780231917285164,,,,,,,,936.9571277842723,936.0791045925438
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,3680.7433986718675,3540.7610109003053,139.98238777156212,,,,,,,3680.7433986718675,3567.8151833761235,3540.7610109003053
IND-001145,Lower Siang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1813.5278413813044,1750.42490157864,63.10293980266442,,,,,,,,1750.42490157864,1813.5278413813044
IND-000777,Lower Subansiri,Arunachal Pradesh,2001,2011.0,False,NEW,1,2001,2001,9423.178915753346,9423.178915753346,0.0,,,,,,9423.178915753346,,,
IND-001035,Lower Subansiri,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,2711.551861880562,2711.551861880562,0.0,,,,,,,2711.551861880562,,
IND-001140,Lower Subansiri,Arunachal Pradesh,2021,2025.0,False,NEW,1,2021,2021,1457.8888739445176,1457.8888739445176,0.0,,,,,,,,1457.8888739445176,
IND-001359,Lower Subansiri,Arunachal Pradesh,2025,,True,NEW,1,2025,2025,1942.4887387989686,1942.4887387989686,0.0,,,,,,,,,1942.4887387989686
IND-001143,Namsai,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1341.9748785024146,1340.95042730987,1.024451192544575,,,,,,,,1340.95042730987,1341.9748785024146
IND-001148,Pakke Kessang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1909.9528292751288,1903.5729803144336,6.379848960695199,,,,,,,,1903.5729803144336,1909.9528292751288
IND-000776,Papum Pare,Arunachal Pradesh,2001,2021.0,False,NEW,2,2001,2011,3364.3232481089512,3352.9802604287297,11.34298768022154,,,,,,3364.3232481089512,3352.9802604287297,,
IND-001135,Papum Pare,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,3773.7238440826955,3446.492447418467,327.23139666422867,,,,,,,,3773.7238440826955,3446.492447418467
IND-001147,Shi Yomi,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,2640.0533486534114,2617.5103157881836,22.543032865227815,,,,,,,,2640.0533486534114,2617.5103157881836
IND-001146,Siang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,3450.880052699354,3447.8655840462743,3.0144686530798026,,,,,,,,3447.8655840462743,3450.880052699354
IND-001031,Tawang,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,2173.8765696751802,2173.8765696751802,0.0,,,,,,,2173.8765696751802,,
IND-001134,Tawang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,2456.6381911676463,2356.4338482322146,100.20434293543167,,,,,,,,2356.4338482322146,2456.6381911676463
IND-001136,Tirap,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1174.6131937091695,1087.4301183794169,87.18307532975268,,,,,,,,1087.4301183794169,1174.6131937091695
IND-000779,Upper Siang,Arunachal Pradesh,2001,,True,NEW,4,2001,2025,6854.764038560141,6614.685586827764,240.07845173237638,,,,,,6854.764038560141,6614.685586827764,6777.068368880226,6701.539542071813
IND-000490,Upper Subansiri,Arunachal Pradesh,1981,2011.0,False,NEW,3,1981,2001,5968.819682180613,5968.792474062004,0.02720811860945105,,,,5968.792474062004,5968.819682180613,5968.819682180613,,,
IND-001032,Upper Subansiri,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,6736.204796401924,6402.6845806038955,333.5202157980284,,,,,,,6736.204796401924,6402.6845806038955,6482.544252189417
IND-000488,West Kameng,Arunachal Pradesh,1981,1991.0,False,NEW,1,1981,1981,7137.061091359662,7137.061091359662,0.0,,,,7137.061091359662,,,,,
IND-000491,West Siang,Arunachal Pradesh,1981,2011.0,False,NEW,3,1981,2001,7909.430936785123,7909.4078118430725,0.023124942050344544,,,,7909.430936785123,7909.4078118430725,7909.4078118430725,,,
