canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000195,Amravati,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,12228.52,12187.38,41.14,12187.409,12187.409,12187.409,12187.444,12187.38,12187.38,12228.52,12211.886,12204.768
IND-000947,Anuppur,Madhya Pradesh,2011,,True,NEW,3,2011,2025,3847.112,3767.559,79.552,,,,,,,3847.112,3767.559,3773.462
IND-000945,Ashoknagar,Madhya Pradesh,2011,,True,NEW,3,2011,2025,4825.878,4736.144,89.734,,,,,,,4825.878,4736.144,4736.424
IND-000188,Balaghat,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,9258.872,9244.428,14.445,9258.808,9258.808,9258.808,9258.819,9258.872,9258.872,9253.13,9244.428,9249.318
IND-000871,Barwani,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5429.204,5175.19,254.013,,,,,,5306.133,5175.19,5429.204,5428.969
IND-000192,Bastar,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,39134.969,39134.855,0.113,39134.936,39134.936,39134.936,39134.855,39134.969,,,,
IND-000181,Betul,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,10149.827,10053.459,96.368,10062.436,10062.436,10062.436,10062.41,10062.449,10062.449,10149.827,10058.126,10053.459
IND-000182,Bhandara,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,9364.942,9364.934,0.008,9364.939,9364.939,9364.939,9364.934,9364.942,,,,
IND-000396,Bhind,Madhya Pradesh,1961,,True,NEW,8,1961,2025,4536.637,4454.306,82.331,,4454.306,4454.306,4454.346,4454.311,4454.311,4536.637,4463.948,4462.794
IND-000455,Bhopal,Madhya Pradesh,1981,,True,NEW,6,1981,2025,2767.396,2715.107,52.29,,,,2765.221,2765.244,2765.244,2715.107,2767.396,2767.344
IND-000190,Bilaspur,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,19900.288,18777.766,1122.522,19900.288,19900.288,19900.288,18777.766,19900.267,,,,
IND-000198,Buldana,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,9742.318,9703.908,38.41,9716.295,9716.295,9716.295,9716.246,9716.315,9716.315,9703.908,9737.913,9742.318
IND-000953,Burhanpur,Madhya Pradesh,2011,,True,NEW,3,2011,2025,3238.666,3225.115,13.551,,,,,,,3238.666,3231.297,3225.115
IND-000179,Chanda,Madhya Pradesh,1951,1991.0,False,ANCHOR,4,1951,1981,25296.068,23934.955,1361.113,23934.955,25295.999,25295.999,25296.068,,,,,
IND-000180,Chhindwara,Madhya Pradesh,1951,1961.0,False,ANCHOR,1,1951,1951,20566.481,20566.481,0.0,20566.481,,,,,,,,
IND-000402,Chhindwara,Madhya Pradesh,1961,,True,NEW,8,1961,2025,11820.95,11744.135,76.815,,11820.95,11820.95,11820.934,11820.913,11820.913,11744.135,11814.42,11811.075
IND-000400,Damoh,Madhya Pradesh,1961,,True,NEW,8,1961,2025,7398.856,7302.738,96.118,,7303.946,7303.946,7303.89,7303.897,7303.897,7398.856,7302.738,7302.928
IND-000865,Datia,Madhya Pradesh,2001,2021.0,False,NEW,2,2001,2011,2887.897,2795.204,92.693,,,,,,2795.204,2887.897,,
IND-001235,Datia,Madhya Pradesh,2021,,True,NEW,2,2021,2025,2686.604,2677.176,9.428,,,,,,,,2677.176,2686.604
IND-000876,Dindori,Madhya Pradesh,2001,,True,NEW,4,2001,2025,5799.616,5666.557,133.06,,,,,,5799.616,5666.557,5750.493,5745.923
IND-001316,Disputed (Ratlam & Mandsaur),Madhya Pradesh,2025,,True,NEW,1,2025,2025,1.315,1.315,0.0,,,,,,,,,1.315
IND-000191,Durg,Madhya Pradesh,1951,1981.0,False,ANCHOR,3,1951,1971,19678.07,19678.07,0.0,19678.07,19678.07,19678.07,,,,,,
IND-000458,Durg,Madhya Pradesh,1981,2021.0,False,NEW,4,1981,2011,8535.472,8430.996,104.476,,,,8535.462,8535.472,8535.472,8430.996,,
