canonical_key,display_name,state,census_year,area_km2,fill_method,fill_source_ck,fill_confidence
IND-000454,Visakhapatnam,Andhra Pradesh,1961,11551.471587,LINEAGE_BACKFILL,IND-000220|IND-000224,0.7
IND-000454,Visakhapatnam,Andhra Pradesh,1971,11541.004039,LINEAGE_BACKFILL,IND-000220|IND-000224,0.7
IND-000454,Visakhapatnam,Andhra Pradesh,1981,11541.071623992946,DIRECT,IND-000454,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,1991,11541.12065414818,DIRECT,IND-000454,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,2001,11541.12065414818,DIRECT,IND-000454,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,2011,11437.005634525996,DIRECT,IND-000454,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,2021,11603.975683542554,DIRECT,IND-000454,1.0
IND-000454,Visakhapatnam,Andhra Pradesh,2025,11579.20147124063,DIRECT,IND-000454,1.0
IND-000453,Vizianagaram,Andhra Pradesh,1951,6221.496599,LINEAGE_BACKFILL,IND-000220|IND-000224,0.95
IND-000453,Vizianagaram,Andhra Pradesh,1961,6221.496599,LINEAGE_BACKFILL,IND-000220|IND-000224,0.95
IND-000453,Vizianagaram,Andhra Pradesh,1971,6157.202261,LINEAGE_BACKFILL,IND-000220|IND-000224,0.95
IND-000453,Vizianagaram,Andhra Pradesh,1981,6157.370011308436,DIRECT,IND-000453,1.0
IND-000453,Vizianagaram,Andhra Pradesh,1991,6157.384850140305,DIRECT,IND-000453,1.0
IND-000453,Vizianagaram,Andhra Pradesh,2001,6157.384850140305,DIRECT,IND-000453,1.0
IND-000453,Vizianagaram,Andhra Pradesh,2011,6084.697747802682,DIRECT,IND-000453,1.0
IND-000453,Vizianagaram,Andhra Pradesh,2021,6180.587233460012,DIRECT,IND-000453,1.0
IND-000453,Vizianagaram,Andhra Pradesh,2025,6147.328893981438,DIRECT,IND-000453,1.0
IND-000321,West Godavari,Andhra Pradesh,1951,7722.764558,LINEAGE_BACKFILL,IND-000207|IND-000208,0.7
IND-000321,West Godavari,Andhra Pradesh,1961,7722.88186125806,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,1971,7722.88186125806,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,1981,7722.88186125806,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,1991,7722.865166617661,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,2001,7722.865166617661,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,2011,7827.150039716366,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,2021,8384.154991461506,DIRECT,IND-000321,1.0
IND-000321,West Godavari,Andhra Pradesh,2025,8321.766078937428,DIRECT,IND-000321,1.0
IND-001040,Anjaw,Arunachal Pradesh,1951,6023.832101,LINEAGE_BACKFILL,IND-000494|IND-000629,0.49
IND-001040,Anjaw,Arunachal Pradesh,1961,6023.832101,LINEAGE_BACKFILL,IND-000494|IND-000629,0.49
IND-001040,Anjaw,Arunachal Pradesh,1971,6023.832101,LINEAGE_BACKFILL,IND-000494|IND-000629,0.49
IND-001040,Anjaw,Arunachal Pradesh,1981,6023.892021,LINEAGE_BACKFILL,IND-000494|IND-000629,0.49
IND-001040,Anjaw,Arunachal Pradesh,1991,6023.891522,LINEAGE_BACKFILL,IND-000494|IND-000629,0.7
IND-001040,Anjaw,Arunachal Pradesh,2001,6023.891522,LINEAGE_BACKFILL,IND-000494|IND-000629,0.7
IND-001040,Anjaw,Arunachal Pradesh,2011,6130.836274812929,DIRECT,IND-001040,1.0
IND-001040,Anjaw,Arunachal Pradesh,2021,6511.093190516527,DIRECT,IND-001040,1.0
IND-001040,Anjaw,Arunachal Pradesh,2025,6015.130575061303,DIRECT,IND-001040,1.0
IND-001037,Dibang Valley,Arunachal Pradesh,1951,9175.148779,LINEAGE_BACKFILL,IND-000493|IND-000779,0.3258
IND-001037,Dibang Valley,Arunachal Pradesh,1961,9175.14879,LINEAGE_BACKFILL,IND-000493|IND-000779,0.4655
IND-001037,Dibang Valley,Arunachal Pradesh,1971,9175.14879,LINEAGE_BACKFILL,IND-000493|IND-000779,0.4655
IND-001037,Dibang Valley,Arunachal Pradesh,1981,9175.219948,LINEAGE_BACKFILL,IND-000493|IND-000779,0.665
IND-001037,Dibang Valley,Arunachal Pradesh,1991,9175.195505,LINEAGE_BACKFILL,IND-000493|IND-000779,0.665
IND-001037,Dibang Valley,Arunachal Pradesh,2001,9175.195509,LINEAGE_BACKFILL,IND-000493|IND-000779,0.7
IND-001037,Dibang Valley,Arunachal Pradesh,2011,9324.530267873157,DIRECT,IND-001037,1.0
IND-001037,Dibang Valley,Arunachal Pradesh,2021,9612.27226804132,DIRECT,IND-001037,1.0
IND-001037,Dibang Valley,Arunachal Pradesh,2025,9576.989843633432,DIRECT,IND-001037,1.0
IND-001141,East Kameng,Arunachal Pradesh,1951,4202.609794,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.2401
IND-001141,East Kameng,Arunachal Pradesh,1961,4202.610815,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.343
IND-001141,East Kameng,Arunachal Pradesh,1971,4202.610815,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.343
IND-001141,East Kameng,Arunachal Pradesh,1981,4202.613685,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.343
IND-001141,East Kameng,Arunachal Pradesh,1991,4202.60766,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.343
IND-001141,East Kameng,Arunachal Pradesh,2001,4202.608106,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.49
IND-001141,East Kameng,Arunachal Pradesh,2011,4356.024074,LINEAGE_BACKFILL,IND-000489|IND-000632|IND-000776|IND-001036,0.7
IND-001141,East Kameng,Arunachal Pradesh,2021,4356.024837125844,DIRECT,IND-001141,1.0
