event_id,event_type,effective_year,pre_vintage,post_vintage,predecessor,successor,predecessor_ck,successor_ck,transferred_area_km2,measurement_status,predecessor_match_method,successor_match_method
368b02b99de951e6ebc3251717ed1883,NEW_DISTRICT,1972,1971.0,1981,Kottayam,Idukki,IND-000392,IND-000446,4510.3625,MEASURED,STATE_SCOPED,STATE_SCOPED
368b02b99de951e6ebc3251717ed1883,NEW_DISTRICT,1972,1971.0,1981,Ernakulam,Idukki,IND-000391,IND-000446,808.9834,MEASURED,STATE_SCOPED,STATE_SCOPED
ae0e9ed12fbaf4a06b4337806ade00a2,NEW_DISTRICT,1972,1971.0,1981,Sehore,Bhopal,IND-000103,IND-000452,2765.16,MEASURED,STATE_SCOPED,STATE_SCOPED
0a0931aaa7e9a75f2942d9fc3a59080f,NEW_DISTRICT,1972,1971.0,1981,Mizoram,Aizawl; Chhimtuipui; Lunglei,,,,PARTIALLY_RESOLVED,,
7327e1bd8919bf97d21c030d6c37dae2,NEW_DISTRICT,1972,1971.0,1981,Bathinda,Faridkot,,,,PARTIALLY_RESOLVED,,
7e02f92475b78469bfb03df30aa80e4c,SPLIT,1972,1971.0,1981,Darbhanga,Darbhanga,IND-000112,IND-000555,2485.4606,MEASURED,STATE_SCOPED,STATE_SCOPED
7e02f92475b78469bfb03df30aa80e4c,SPLIT,1972,1971.0,1981,Darbhanga,Madhubani,IND-000112,IND-000556,3502.2982,MEASURED,STATE_SCOPED,STATE_SCOPED
7e02f92475b78469bfb03df30aa80e4c,SPLIT,1972,1971.0,1981,Darbhanga,Samastipur,IND-000112,IND-000554,2714.136,MEASURED,STATE_SCOPED,STATE_SCOPED
c1b20ba172a3dac8d6bbfc7846596380,SPLIT,1972,1971.0,1981,Monghyr,Begusarai; Munger,,,,PARTIALLY_RESOLVED,,
dd0a237b059c731336fe216dd1b87cff,SPLIT,1972,1971.0,1981,Muzaffarpur,Muzaffarpur,IND-000111,IND-000551,3166.8589,MEASURED,STATE_SCOPED,STATE_SCOPED
dd0a237b059c731336fe216dd1b87cff,SPLIT,1972,1971.0,1981,Muzaffarpur,Sitamarhi,IND-000111,IND-000550,2623.0725,MEASURED,STATE_SCOPED,STATE_SCOPED
dd0a237b059c731336fe216dd1b87cff,SPLIT,1972,1971.0,1981,Muzaffarpur,Vaishali,IND-000111,IND-000552,2005.2015,MEASURED,STATE_SCOPED,STATE_SCOPED
4b1f20f0bc184ac6bb18a1d436a147c1,SPLIT,1972,1971.0,1981,Patna,Nalanda,IND-000106,IND-000539,2378.7194,MEASURED,STATE_SCOPED,STATE_SCOPED
4b1f20f0bc184ac6bb18a1d436a147c1,SPLIT,1972,1971.0,1981,Patna,Patna,IND-000106,IND-000538,3227.692,MEASURED,STATE_SCOPED,STATE_SCOPED
a77f7256f10cd328db232639161b2f33,SPLIT,1972,1971.0,1981,Shahabad,Bhojpur,IND-000108,IND-000540,4094.8694,MEASURED,STATE_SCOPED,STATE_SCOPED
a77f7256f10cd328db232639161b2f33,SPLIT,1972,1971.0,1981,Shahabad,Rohtas,IND-000108,IND-000541,7225.0894,MEASURED,STATE_SCOPED,STATE_SCOPED
e96455b233d6dee63c0f63e9514b57d0,SPLIT,1972,1971.0,1981,Hisar,Bhiwani,IND-000238,IND-000568,3485.2737,PARTIALLY_RESOLVED,STATE_SCOPED,STATE_SCOPED
4bbb1643f21c29496eca4f84b31f7102,SPLIT,1972,1971.0,1981,Rohtak,Rohtak,IND-000239,IND-000565,4173.7925,MEASURED,STATE_SCOPED,STATE_SCOPED
4bbb1643f21c29496eca4f84b31f7102,SPLIT,1972,1971.0,1981,Rohtak,Sonipat,IND-000239,IND-000564,1324.0971,MEASURED,STATE_SCOPED,STATE_SCOPED
8bd84574f9be2f5e6ae616dd179d80c2,SPLIT,1972,1971.0,1981,Kangra,Hamirpur,IND-000432,IND-000573,1110.3971,MEASURED,STATE_SCOPED,STATE_SCOPED
8bd84574f9be2f5e6ae616dd179d80c2,SPLIT,1972,1971.0,1981,Kangra,Kangra,IND-000432,IND-000572,6346.4199,MEASURED,STATE_SCOPED,STATE_SCOPED
8bd84574f9be2f5e6ae616dd179d80c2,SPLIT,1972,1971.0,1981,Kangra,Una,IND-000432,IND-000574,944.7717,MEASURED,STATE_SCOPED,STATE_SCOPED
86ec83d13438e8d6393922ef2ed1de70,SPLIT,1972,1971.0,1981,Simla,Solan,IND-000434,IND-000434,1932.0714,PARTIALLY_RESOLVED,STATE_SCOPED,STATE_SCOPED
ec98917ba7bb413d97f20b163ea7f7f0,SPLIT,1972,1971.0,1981,Hazaribagh,Giridih; Hazaribag,,,,PARTIALLY_RESOLVED,,
20198be8bf1bba588a8afc0ab6cdaa90,SPLIT,1972,1971.0,1981,Ernakulam,Ernakulam,IND-000391,IND-000445,2116.0133,MEASURED,STATE_SCOPED,STATE_SCOPED
20198be8bf1bba588a8afc0ab6cdaa90,SPLIT,1972,1971.0,1981,Ernakulam,Idukki,IND-000391,IND-000446,808.9834,MEASURED,STATE_SCOPED,STATE_SCOPED
019492be871ace84365cda5bf2e964ee,SPLIT,1972,1971.0,1981,Kottayam,Idukki,IND-000392,IND-000446,4510.3625,MEASURED,STATE_SCOPED,STATE_SCOPED
019492be871ace84365cda5bf2e964ee,SPLIT,1972,1971.0,1981,Kottayam,Kottayam,IND-000392,IND-000448,2200.8471,MEASURED,STATE_SCOPED,STATE_SCOPED
3eb42bdd93392efeda7597e9a33cc272,SPLIT,1972,1971.0,1981,Sehore,Bhopal,IND-000103,IND-000452,2765.16,MEASURED,STATE_SCOPED,STATE_SCOPED
3eb42bdd93392efeda7597e9a33cc272,SPLIT,1972,1971.0,1981,Sehore,Sehore,IND-000103,IND-000453,6560.8002,MEASURED,STATE_SCOPED,STATE_SCOPED
eac1b7edb39b05e08879ab8d25da0efb,SPLIT,1972,1971.0,1981,Mizoram,Aizawl; Chhimtuipui; Lunglei,,,,PARTIALLY_RESOLVED,,
75c3f01b5a4b12f0be3d875cb595f19d,SPLIT,1972,1971.0,1981,Bhatinda,Bathinda,IND-000346,IND-000478,5953.9846,MEASURED,STATE_SCOPED,STATE_SCOPED
75c3f01b5a4b12f0be3d875cb595f19d,SPLIT,1972,1971.0,1981,Bhatinda,Faridkot,IND-000346,IND-000479,1475.1357,MEASURED,STATE_SCOPED,STATE_SCOPED
e57e7c07bbddd8f2aed35d9aa85b2a51,NEW_DISTRICT,1973,1971.0,1981,Gaya,Aurangabad,IND-000107,IND-000542,3305.641,MEASURED,STATE_SCOPED,STATE_SCOPED
e57e7c07bbddd8f2aed35d9aa85b2a51,NEW_DISTRICT,1973,1971.0,1981,Gaya,Nawada,IND-000107,IND-000544,2481.0543,MEASURED,STATE_SCOPED,STATE_SCOPED
3c733356d00337525c07e473fbd8f16e,NEW_DISTRICT,1973,1971.0,1981,Purnea,Katihar,,,,PARTIALLY_RESOLVED,,
483ff132fe8058a2e53f919881e8e8fd,NEW_DISTRICT,1973,1971.0,1981,Saran,Gopalganj,IND-000109,IND-000547,2035.0005,MEASURED,STATE_SCOPED,STATE_SCOPED
483ff132fe8058a2e53f919881e8e8fd,NEW_DISTRICT,1973,1971.0,1981,Saran,Siwan,IND-000109,IND-000546,2216.6126,MEASURED,STATE_SCOPED,STATE_SCOPED
ad20de36de3477edd5009ae43f3c1ee0,NEW_DISTRICT,1973,1971.0,1981,Durg,Raj Nandgaon,,,,PARTIALLY_RESOLVED,,
592a80330b9afc0c5f23dc4079628491,NEW_DISTRICT,1973,1971.0,1981,Karnal,Kurukshetra,IND-000241,IND-000562,3945.4587,MEASURED,STATE_SCOPED,STATE_SCOPED
3fc114bebd2778e37e4ea7d94c3bdde3,NEW_DISTRICT,1973,1971.0,1981,Kohima,Phek,IND-000371,IND-000469,1781.3332,MEASURED,STATE_SCOPED,STATE_SCOPED
f35e1f81989c9b3a240b37d910b9b7c9,NEW_DISTRICT,1973,1971.0,1981,Mokokchung,Wokha,IND-000372,IND-000471,1632.3305,MEASURED,STATE_SCOPED,STATE_SCOPED
f35e1f81989c9b3a240b37d910b9b7c9,NEW_DISTRICT,1973,1971.0,1981,Mokokchung,Zunheboto,IND-000372,IND-000470,926.8615,MEASURED,STATE_SCOPED,STATE_SCOPED
b7b804d40df1bde3690aa05e19bfacee,NEW_DISTRICT,1973,1971.0,1981,Tuensang,Mon,IND-000049,IND-000474,2222.9691,MEASURED,STATE_SCOPED,STATE_SCOPED
5147c9f1f7f3d3187392184a6124898d,NEW_DISTRICT,1973,1971.0,1981,Sikkim,East District; North District; South District; West District,,,,UNRESOLVED_NAME,,
2750d39d7c822c3e2b983105d530c883,SPLIT,1973,1971.0,1981,Gaya,Aurangabad,IND-000107,IND-000542,3305.641,MEASURED,STATE_SCOPED,STATE_SCOPED
2750d39d7c822c3e2b983105d530c883,SPLIT,1973,1971.0,1981,Gaya,Gaya,IND-000107,IND-000543,6554.9374,MEASURED,STATE_SCOPED,STATE_SCOPED
